topic;coherence;perplexity
2;-1.350878206405161;-7.1966912216042624
3;-1.4018382475835196;-7.179006585445876
4;-2.4956488621656674;-7.212171141273577
5;-2.5116846693539783;-7.203389416743348
6;-2.4707544474720016;-7.234174081601502
7;-1.9334435938977248;-7.258492934941802
8;-2.8679868920321567;-7.266536407797295
9;-4.779905786948869;-7.2910908139640505
10;-4.871309019343611;-7.387305283753908
11;-6.524701602902521;-7.54784704570059
12;-5.726594474310168;-7.825423005079596
13;-6.4610032227212395;-8.270712555570647
14;-6.570042910505843;-8.703724329795833
15;-6.687076567086658;-9.073409898217397
16;-6.971453026007344;-9.335830264463223
17;-7.184284660150674;-9.457572083213527
18;-7.336523826240854;-9.612382652746083
19;-6.527739341272453;-9.747170987237618
20;-7.1936755414326345;-9.887705418538255
21;-6.6036956578270445;-10.043572831977752
22;-7.719876359048649;-10.162865272938438
23;-6.674088591510739;-10.3156252273302
24;-7.197588755888319;-10.45956924701906
25;-7.663323928856933;-10.607106562882995
26;-7.1980084509223685;-10.741660738832548
27;-6.268296481249649;-10.899255718166424
28;-5.768543911914988;-11.021580046712074
29;-5.484504541365824;-11.161657330253995
