Paper Title;Year;Author;Publication;Url of paper
Fabric defect detection and classification using image analysis;1995.0;YF Zhang, RR Bresee;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/004051759506500101
Approaches for improvement of the X-ray image defect detection of automobile casting aluminum parts based on deep learning;2019.0;W Du, H Shen, J Fu, G Zhang, Q He;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869519300192
The application of one-class classifier based on CNN in image defect detection;2017.0;M Zhang, J Wu, H Lin, P Yuan, Y Song;Elsevier;https://www.sciencedirect.com/science/article/pii/S1877050917318343
Review of pavement defect detection methods;2020.0;W Cao, Q Liu, Z He;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8960347/
Image segmentation algorithms applied to wood defect detection;2003.0;JW Funck, Y Zhong, DA Butler, CC Brunner…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0168169903000498
Image-based surface defect detection using deep learning: A review;2021.0;PM Bhatt, RK Malhan…;asmedigitalcollection.asme.org;https://asmedigitalcollection.asme.org/computingengineering/article-abstract/21/4/040801/1094064
Image processing algorithm for apple defect detection;1989.0;GE Rehkugler, JA Throopmann;elibrary.asabe.org;https://elibrary.asabe.org/abstract.asp?aid=30994
Research on X-ray welding image defect detection based on convolution neural network;2019.0;L Yaping, G Weixin;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1237/3/032005/meta
Automatic defect detection and classification technique from image: a special case using ceramic tiles;2009.0;GM Rahaman, M Hossain;arxiv.org;https://arxiv.org/abs/0906.3770
Correlation based image defect detection;2006.0;T Amano;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1698858/
State of the art in defect detection based on machine vision;2021.0;Z Ren, F Fang, N Yan, Y Wu;Springer;https://link.springer.com/article/10.1007/s40684-021-00343-6
Industrial Laser Welding Defect Detection and Image Defect Recognition Based on Deep Learning Model Developed;2021.0;H Deng, Y Cheng, Y Feng, J Xiang;mdpi.com;https://www.mdpi.com/2073-8994/13/9/1731
Defect detection in textured materials using Gabor filters;2002.0;A Kumar, GKH Pang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/993164/
